"index","name_occup_de","Berufsabteilungen","Berufsklassen","Berufsgruppen","Berufsarten","name_occup_fr","name_occup_it","name_occup_en"
"1220","Führungskräfte in Vertrieb, Marketing und Entwicklung, onA",NA,NA,NA,"1220","Directeurs et cadres de direction, ventes, commercialisation et développement, sip","Dirigenti nei servizi di vendita, commercializzazione e sviluppo, s.a.i.","Sales, marketing and development managers, nos"
"1221","Führungskräfte in Vertrieb und Marketing",NA,NA,NA,"1221","Directeurs et cadres de direction, ventes et commercialisation","Dirigenti nei servizi di vendita e commercializzazione","Sales and marketing managers"
"1222","Führungskräfte in Werbung und Öffentlichkeitsarbeit",NA,NA,NA,"1222","Directeurs et cadres de direction, publicité et relations publiques","Dirigenti nei servizi di pubblicità e pubbliche relazioni","Advertising and public relations managers"
"1223","Führungskräfte in Forschung und Entwicklung",NA,NA,NA,"1223","Directeurs et cadres de direction, recherche-développement","Dirigenti nel settore ricerca e sviluppo","Research and development managers"
"13","Führungskräfte in der Produktion und bei speziellen Dienstleistungen",NA,"13",NA,NA,"Directeurs et cadres de direction, production et services spécialisés","Dirigenti nei servizi di produzione e specializzati","Production and specialized services managers"
"130","Führungskräfte in der Produktion und bei speziellen Dienstleistungen, onA",NA,NA,"130",NA,"Directeurs et cadres de direction, production et services spécialisés, sip","Dirigenti nei servizi di produzione e specializzati, s.a.i.","Production and specialized services managers, nos"
"1300","Führungskräfte in der Produktion und bei speziellen Dienstleistungen, onA",NA,NA,NA,"1300","Directeurs et cadres de direction, production et services spécialisés, sip","Dirigenti nei servizi di produzione e specializzati, s.a.i.","Production and specialized services managers, nos"
"131","Führungskräfte in der Produktion in Land- und Forstwirtschaft und Fischerei",NA,NA,"131",NA,"Directeurs et cadres de direction, agriculture, sylviculture et pêche","Dirigenti nella produzione agricola, forestale e della pesca","Production managers in agriculture, forestry and fisheries"
"1310","Führungskräfte in der Produktion in Land- und Forstwirtschaft und Fischerei, onA",NA,NA,NA,"1310","Directeurs et cadres de direction, agriculture, sylviculture et pêche, sip","Dirigenti nella produzione agricola, forestale e della pesca, s.a.i.","Production managers in agriculture, forestry and fisheries, nos"
"1311","Führungskräfte in der Produktion in Land- und Forstwirtschaft",NA,NA,NA,"1311","Directeurs et cadres de direction, agriculture et sylviculture","Dirigenti nella produzione agricola e forestale","Agricultural and forestry production managers"
"1312","Führungskräfte in der Produktion in Aquakultur und Fischerei",NA,NA,NA,"1312","Directeurs et cadres de direction, aquaculture et pêche","Dirigenti nella produzione della pesca e dell'acquacoltura","Aquaculture and fisheries production managers"
"132","Führungskräfte in der Produktion bei der Herstellung von Waren, im Bergbau und im Bau sowie in der Logistik",NA,NA,"132",NA,"Directeurs et cadres de direction, industries manufacturières, mines, bâtiment et distribution","Dirigenti dell'industria manifatturiera, dell'estrazione, dell'edilizia e della distribuzione","Manufacturing, mining, construction, and distribution managers"
"1320","Führungskräfte in der Produktion bei der Herstellung von Waren, im Bergbau und im Bau sowie in der Logistik, onA",NA,NA,NA,"1320","Directeurs et cadres de direction, industries manufacturières, mines, bâtiment et distribution, sip","Dirigenti dell'industria manifatturiera, dell'estrazione, dell'edilizia e della distribuzione, s.a.i.","Manufacturing, mining, construction, and distribution managers, nos"
"1321","Führungskräfte in der Produktion bei der Herstellung von Waren",NA,NA,NA,"1321","Directeurs et cadres de direction, industrie manufacturière","Dirigenti dell'industria manifatturiera","Manufacturing managers"
"1322","Führungskräfte in der Produktion im Bergbau",NA,NA,NA,"1322","Directeurs et cadres de direction, mines","Dirigenti dell'industria dell'estrazione","Mining managers"
"1323","Führungskräfte in der Produktion im Bau",NA,NA,NA,"1323","Directeurs et cadres de direction, bâtiment","Dirigenti dell'edilizia","Construction managers"
"1324","Führungskräfte in der Beschaffung, Logistik und in verwandten Bereichen",NA,NA,NA,"1324","Directeurs et cadres de direction, approvisionnement, distribution et assimilés","Dirigenti nei servizi di approvvigionamento, distribuzione ed assimilati","Supply, distribution and related managers"
"133","Führungskräfte in der Erbringung von Dienstleistungen im Bereich Informations- und Kommunikationstechnologie",NA,NA,"133",NA,"Directeurs et cadres de direction, technologies de l’information et des communications","Dirigenti nei servizi delle tecnologie dell'informazione e della comunicazione","Information and communications technology service managers"
"1330","Führungskräfte in der Erbringung von Dienstleistungen im Bereich Informations- und Kommunikationstechnologie",NA,NA,NA,"1330","Directeurs et cadres de direction, technologies de l’information et des communications","Dirigenti nei servizi delle tecnologie dell'informazione e della comunicazione","Information and communications technology service managers"
"134","Führungskräfte in der Erbringung von speziellen Dienstleistungen",NA,NA,"134",NA,"Cadres de direction, services spécialisés","Dirigenti nei servizi professionali","Professional services managers"
"1340","Führungskräfte in der Erbringung von speziellen Dienstleistungen, onA",NA,NA,NA,"1340","Cadres de direction, services spécialisés, sip","Dirigenti nei servizi professionali, s.a.i.","Professional services managers, nos"
"1341","Führungskräfte in der Erbringung von Dienstleistungen der Kinderbetreuung",NA,NA,NA,"1341","Cadres de direction, garde d’enfants","Dirigenti nei servizi di sorveglianza dei bambini","Child care services managers"
"1342","Führungskräfte in der Erbringung von Dienstleistungen im Gesundheitswesen",NA,NA,NA,"1342","Cadres de direction, services de santé","Dirigenti nei servizi sanitari","Health services managers"
"1343","Führungskräfte in der Erbringung von Dienstleistungen der Altenbetreuung",NA,NA,NA,"1343","Cadres de direction, services aux personnes âgées","Dirigenti nei servizi di assistenza agli anziani","Aged care services managers"
"1344","Führungskräfte in der Erbringung von Dienstleistungen der Sozialfürsorge",NA,NA,NA,"1344","Cadres de direction, services sociaux","Dirigenti nei servizi sociali","Social welfare managers"
"1345","Führungskräfte in der Erbringung von Dienstleistungen des Bildungswesens",NA,NA,NA,"1345","Cadres de direction, éducation","Dirigenti nel settore dell'educazione","Education managers"
"1346","Führungskräfte auf Filialebene in der Erbringung von Finanz- und Versicherungsdienstleistungen",NA,NA,NA,"1346","Directeurs et cadres de direction, succursales de banque, services financiers et assurances","Dirigenti di filiale nei servizi finanziari e assicurativi","Financial and insurance services branch managers"
"1349","Führungskräfte in der Erbringung von speziellen Dienstleistungen, anderweitig nicht genannt",NA,NA,NA,"1349","Autres cadres de direction, services spécialisés non classés ailleurs","Dirigenti in servizi professionali non classificati altrove","Professional services managers not elsewhere classified"
"14","Führungskräfte in Hotels und Restaurants, im Handel und in der Erbringung sonstiger Dienstleistungen",NA,"14",NA,NA,"Directeurs et gérants de l’hôtellerie, la restauration, le commerce et autres services","Dirigenti nei servizi alberghieri, nel commercio ed assimilati","Hospitality, retail and other services managers"
"140","Führungskräfte in Hotels und Restaurants, im Handel und in der Erbringung sonstiger Dienstleistungen, onA",NA,NA,"140",NA,"Directeurs et gérants de l’hôtellerie, la restauration, le commerce et autres services, sip","Dirigenti nei servizi alberghieri, nel commercio ed assimilati, s.a.i.","Hospitality, retail and other services managers, nos"
"1400","Führungskräfte in Hotels und Restaurants, im Handel und in der Erbringung sonstiger Dienstleistungen, onA",NA,NA,NA,"1400","Directeurs et gérants de l’hôtellerie, la restauration, le commerce et autres services, sip","Dirigenti nei servizi alberghieri, nel commercio ed assimilati, s.a.i.","Hospitality, retail and other services managers, nos"
"141","Führungskräfte in Hotels und Restaurants",NA,NA,"141",NA,"Directeurs et gérants, hôtellerie et restauration","Dirigenti nei servizi alberghieri e nella ristorazione","Hotel and restaurant managers"
"1410","Führungskräfte in Hotels und Restaurants, onA",NA,NA,NA,"1410","Directeurs et gérants, hôtellerie et restauration, sip","Dirigenti nei servizi alberghieri e nella ristorazione, s.a.i.","Hotel and restaurant managers, nos"
"1411","Führungskräfte in Hotels",NA,NA,NA,"1411","Directeurs et gérants, hôtellerie","Dirigenti nei servizi alberghieri","Hotel managers"
"1412","Führungskräfte in Restaurants",NA,NA,NA,"1412","Directeurs et gérants, restauration","Dirigenti nella ristorazione","Restaurant managers"
"142","Führungskräfte in Gross- und Einzelhandel",NA,NA,"142",NA,"Directeurs et gérants, commerce de détail et de gros","Dirigenti nel commercio all'ingrosso e al dettaglio","Retail and wholesale trade managers"
"1420","Führungskräfte in Gross- und Einzelhandel",NA,NA,NA,"1420","Directeurs et gérants, commerce de détail et de gros","Dirigenti nel commercio all'ingrosso e al dettaglio","Retail and wholesale trade managers"
"143","Führungskräfte in der Erbringung sonstiger Dienstleistungen",NA,NA,"143",NA,"Autres directeurs et gérants","Dirigenti in altri servizi","Other services managers"
"1430","Führungskräfte in der Erbringung sonstiger Dienstleistungen, onA",NA,NA,NA,"1430","Autres directeurs et gérants, sip","Dirigenti in altri servizi, s.a.i.","Other services managers, nos"
"1431","Führungskräfte in der Erbringung von Dienstleistungen im Bereich Sport, Erholung und Kultur",NA,NA,NA,"1431","Directeurs et gérants, centres sportifs, centres de loisirs et centres culturels","Dirigenti di centri per le attività sportive, ricreative e culturali","Sports, recreation and cultural centre managers"
"1439","Führungskräfte in der Erbringung von Dienstleistungen, anderweitig nicht genannt",NA,NA,NA,"1439","Directeurs et gérants, services non classés ailleurs","Dirigenti di servizi non classificati altrove","Services managers not elsewhere classified"
"2","Akademische Berufe","2",NA,NA,NA,"Professions intellectuelles et scientifiques","Professioni intellettuali e scientifiche","Professionals"
"20","Akademische Berufe, onA",NA,"20",NA,NA,"Professions intellectuelles et scientifiques, sip","Professioni intellettuali e scientifiche, s.a.i.","Professionals, nos"
"200","Akademische Berufe, onA",NA,NA,"200",NA,"Professions intellectuelles et scientifiques, sip","Professioni intellettuali e scientifiche, s.a.i.","Professionals, nos"
"2000","Akademische Berufe, onA",NA,NA,NA,"2000","Professions intellectuelles et scientifiques, sip","Professioni intellettuali e scientifiche, s.a.i.","Professionals, nos"
"21","Naturwissenschaftler, Mathematiker und Ingenieure",NA,"21",NA,NA,"Spécialistes des sciences techniques","Specialisti in scienze e ingegneria","Science and engineering professionals"
"210","Naturwissenschaftler, Mathematiker und Ingenieure, onA",NA,NA,"210",NA,"Spécialistes des sciences techniques, sip","Specialisti in scienze e ingegneria, s.a.i.","Science and engineering professionals, nos"
"2100","Naturwissenschaftler, Mathematiker und Ingenieure, onA",NA,NA,NA,"2100","Spécialistes des sciences techniques, sip","Specialisti in scienze e ingegneria, s.a.i.","Science and engineering professionals, nos"
"211","Physiker, Chemiker, Geologen und verwandte Berufe",NA,NA,"211",NA,"Physiciens, chimistes et assimilés","Specialisti in scienze fisiche e della terra","Physical and earth science professionals"
"2110","Physiker, Chemiker, Geologen und verwandte Berufe, onA",NA,NA,NA,"2110","Physiciens, chimistes et assimilés, sip","Specialisti in scienze fisiche e della terra, s.a.i.","Physical and earth science professionals, nos"
"2111","Physiker und Astronomen",NA,NA,NA,"2111","Physiciens et astronomes","Fisici e astronomi","Physicists and astronomers"
"2112","Meteorologen",NA,NA,NA,"2112","Météorologues","Meteorologi","Meteorologists"
"2113","Chemiker",NA,NA,NA,"2113","Chimistes","Chimici","Chemists"
"2114","Geologen und Geophysiker",NA,NA,NA,"2114","Géologues et géophysiciens","Geologi e geofisici","Geologists and geophysicists"
"212","Mathematiker, Versicherungsmathematiker und Statistiker",NA,NA,"212",NA,"Mathématiciens, actuaires et statisticiens","Matematici, attuari e statistici","Mathematicians, actuaries and statisticians"
"2120","Mathematiker, Versicherungsmathematiker und Statistiker",NA,NA,NA,"2120","Mathématiciens, actuaires et statisticiens","Matematici, attuari e statistici","Mathematicians, actuaries and statisticians"
"213","Biowissenschaftler",NA,NA,"213",NA,"Spécialistes des sciences de la vie","Specialisti nelle scienze della vita","Life science professionals"
"2130","Biowissenschaftler, onA",NA,NA,NA,"2130","Spécialistes des sciences de la vie, sip","Specialisti nelle scienze della vita, s.a.i.","Life science professionals, nos"
"2131","Biologen, Botaniker, Zoologen und verwandte Berufe",NA,NA,NA,"2131","Biologistes, botanistes, zoologistes et assimilés","Biologi, botanici, zoologi ed assimilati","Biologists, botanists, zoologists and related professionals"
"2132","Agrar-, Forst- und Fischereiwissenschaftler und -berater",NA,NA,NA,"2132","Agronomes et assimilés","Agronomi, forestali e ittiologi","Farming, forestry and fisheries advisers"
"2133","Umweltwissenschaftler",NA,NA,NA,"2133","Spécialistes de la protection de l’environnement","Specialisti in protezione ambientale","Environmental protection professionals"
"214","Ingenieurwissenschaftler (ohne Elektrotechnik, Elektronik und Telekommunikation)",NA,NA,"214",NA,"Spécialistes, sciences techniques (sauf électrotechniques)","Specialisti in ingegneria (ad eccezione degli elettrotecnici)","Engineering professionals (excluding electrotechnology)"
"2140","Ingenieurwissenschaftler (ohne Elektrotechnik, Elektronik und Telekommunikation), onA",NA,NA,NA,"2140","Spécialistes, sciences techniques (sauf électrotechniques), sip","Specialisti in ingegneria (ad eccezione degli elettrotecnici), s.a.i.","Engineering professionals (excluding electrotechnology), nos"
"2141","Wirtschafts- und Produktionsingenieure",NA,NA,NA,"2141","Spécialistes, sciences techniques de la production et de l’industrie","Ingegneri industriali e gestionali","Industrial and production engineers"
"2142","Bauingenieure",NA,NA,NA,"2142","Ingénieurs civils","Ingegneri civili","Civil engineers"
"2143","Umweltschutzingenieure",NA,NA,NA,"2143","Ingénieurs écologistes","Ingegneri ambientali","Environmental engineers"
"2144","Maschinenbauingenieure",NA,NA,NA,"2144","Ingénieurs mécaniciens","Ingegneri meccanici","Mechanical engineers"
"2145","Chemieingenieure",NA,NA,NA,"2145","Ingénieurs chimistes","Ingegneri chimici","Chemical engineers"
"2146","Bergbauingenieure, Metallurgen und verwandte Berufe",NA,NA,NA,"2146","Ingénieurs des mines, ingénieurs métallurgistes et assimilés","Ingegneri minerari, metallurgici ed assimilati","Mining engineers, metallurgists and related professionals"
"2149","Ingenieure, anderweitig nicht genannt",NA,NA,NA,"2149","Spécialistes, sciences techniques non classés ailleurs","Specialisti in ingegneria non classificati altrove","Engineering professionals not elsewhere classified"
"215","Ingenieure in den Bereichen Elektrotechnik, Elektronik und Telekommunikationstechnik",NA,NA,"215",NA,"Ingénieurs de l’électrotechnique","Ingegneri elettrotecnici","Electrotechnology engineers"
"2150","Ingenieure in den Bereichen Elektrotechnik, Elektronik und Telekommunikationstechnik, onA",NA,NA,NA,"2150","Ingénieurs de l’électrotechnique, sip","Ingegneri elettrotecnici, s.a.i.","Electrotechnology engineers, nos"
"2151","Ingenieure im Bereich Elektrotechnik",NA,NA,NA,"2151","Ingénieurs électriciens","Ingegneri elettrici","Electrical engineers"
"2152","Ingenieure im Bereich Elektronik",NA,NA,NA,"2152","Ingénieurs électroniciens","Ingegneri elettronici","Electronics engineers"
"2153","Ingenieure im Bereich Telekommunikationstechnik",NA,NA,NA,"2153","Spécialistes des télécommunications","Ingegneri in telecomunicazioni","Telecommunications engineers"
"216","Architekten, Raum-, Stadt- und Verkehrsplaner, Vermessungsingenieure und Designer",NA,NA,"216",NA,"Architectes, urbanistes, géomètres et concepteurs","Architetti, pianificatori territoriali, agrimensori, disegnatori e progettisti","Architects, planners, surveyors and designers"
"2160","Architekten, Raum-, Stadt- und Verkehrsplaner, Vermessungsingenieure und Designer, onA",NA,NA,NA,"2160","Architectes, urbanistes, géomètres et concepteurs, sip","Architetti, pianificatori territoriali, agrimensori, disegnatori e progettisti, s.a.i.","Architects, planners, surveyors and designers, nos"
"2161","Architekten",NA,NA,NA,"2161","Architectes, bâtiment","Architetti","Building architects"
"2162","Landschaftsarchitekten",NA,NA,NA,"2162","Architectes paysagistes","Paesaggisti","Landscape architects"
"2163","Produkt- und Textildesigner",NA,NA,NA,"2163","Concepteurs modélistes de produits et de vêtements","Progettisti di prodotti e disegnatori di moda","Product and garment designers"
"2164","Raum-, Stadt- und Verkehrsplaner",NA,NA,NA,"2164","Urbanistes et ingénieurs de la circulation routière","Urbanisti e pianificatori del traffico","Town and traffic planners"
"2165","Kartografen und Vermessungsingenieure",NA,NA,NA,"2165","Cartographes et géomètres","Cartografi e agrimensori","Cartographers and surveyors"
"2166","Grafik- und Multimediadesigner",NA,NA,NA,"2166","Concepteurs graphiques, multimédia – graphistes","Grafici e progettisti multimediali","Graphic and multimedia designers"
"22","Akademische und verwandte Gesundheitsberufe",NA,"22",NA,NA,"Spécialistes de la santé","Specialisti della salute","Health professionals"
"220","Akademische und verwandte Gesundheitsberufe, onA",NA,NA,"220",NA,"Spécialistes de la santé, sip","Specialisti della salute, s.a.i.","Health professionals, nos"
"2200","Akademische und verwandte Gesundheitsberufe, onA",NA,NA,NA,"2200","Spécialistes de la santé, sip","Specialisti della salute, s.a.i.","Health professionals, nos"
"221","Ärzte",NA,NA,"221",NA,"Médecins","Medici","Medical doctors"
"2210","Ärzte, onA",NA,NA,NA,"2210","Médecins, sip","Medici, s.a.i.","Medical doctors, nos"
"2211","Allgemeinärzte",NA,NA,NA,"2211","Médecins généralistes","Medici generici","Generalist medical practitioners"
"2212","Fachärzte",NA,NA,NA,"2212","Médecins spécialistes","Medici specialisti","Specialist medical practitioners"
"222","Akademische und vergleichbare Krankenpflege- und Geburtshilfefachkräfte",NA,NA,"222",NA,"Cadres infirmiers et sages-femmes","Infermieri e ostetrici professionisti","Nursing and midwifery professionals"
"2220","Akademische und vergleichbare Krankenpflege- und Geburtshilfefachkräfte, onA",NA,NA,NA,"2220","Cadres infirmiers et sages-femmes, sip","Infermieri e ostetrici professionisti, s.a.i.","Nursing and midwifery professionals, nos"
"2221","Akademische und vergleichbare Krankenpflegefachkräfte",NA,NA,NA,"2221","Cadres infirmiers","Specialisti in scienze sanitarie infermieristiche","Nursing professionals"
"2222","Akademische und vergleichbare Geburtshilfefachkräfte",NA,NA,NA,"2222","Sages-femmes","Specialisti in scienze sanitarie ostetriche","Midwifery professionals"
"223","Akademische und vergleichbare Fachkräfte in der traditionellen und komplementären Medizin",NA,NA,"223",NA,"Spécialistes des médecines traditionnelles et des médecines complémentaires","Specialisti della medicina tradizionale e complementare","Traditional and complementary medicine professionals"
"2230","Akademische und vergleichbare Fachkräfte in der traditionellen und komplementären Medizin",NA,NA,NA,"2230","Spécialistes des médecines traditionnelles et des médecines complémentaires","Specialisti della medicina tradizionale e complementare","Traditional and complementary medicine professionals"
"224","Feldscher und vergleichbare paramedizinische Praktiker",NA,NA,"224",NA,"Praticiens paramédicaux","Paramedici","Paramedical practitioners"
"2240","Feldscher und vergleichbare paramedizinische Praktiker",NA,NA,NA,"2240","Praticiens paramédicaux","Paramedici","Paramedical practitioners"
"225","Tierärzte",NA,NA,"225",NA,"Vétérinaires","Veterinari","Veterinarians"
"2250","Tierärzte",NA,NA,NA,"2250","Vétérinaires","Veterinari","Veterinarians"
"226","Sonstige akademische und verwandte Gesundheitsberufe",NA,NA,"226",NA,"Autres spécialistes des professions de la santé","Altri specialisti della salute","Other health professionals"
"2260","Sonstige akademische und verwandte Gesundheitsberufe, onA",NA,NA,NA,"2260","Autres spécialistes des professions de la santé, sip","Altri specialisti della salute, s.a.i.","Other health professionals, nos"
"2261","Zahnärzte",NA,NA,NA,"2261","Dentistes","Dentisti","Dentists"
"2262","Apotheker",NA,NA,NA,"2262","Pharmaciens","Farmacisti","Pharmacists"
"2263","Akademische und vergleichbare Fachkräfte in den Bereichen Umwelt- und Arbeitsmedizin sowie Hygiene",NA,NA,NA,"2263","Spécialistes de la salubrité de l’environnement, de l’hygiène et de la santé au travail","Specialisti in medicina ambientale, medicina del lavoro e igiene","Environmental and occupational health and hygiene professionals"
"2264","Physiotherapeuten",NA,NA,NA,"2264","Physiothérapeutes","Fisioterapisti","Physiotherapists"
"2265","Diätologen und Ernährungsberater",NA,NA,NA,"2265","Diététiciens et spécialistes de la nutrition","Dietologi e nutrizionisti","Dieticians and nutritionists"
"2266","Audiologen und Sprachtherapeuten",NA,NA,NA,"2266","Audiologistes et orthophonistes","Audiologi e logopedisti","Audiologists and speech therapists"
"2267","Optometristen und Orthoptisten",NA,NA,NA,"2267","Optométristes","Optometristi e oftalmologi","Optometrists and ophthalmic opticians"
"2269","Akademische und verwandte Gesundheitsberufe, anderweitig nicht genannt",NA,NA,NA,"2269","Spécialistes de la santé non classés ailleurs","Specialisti della salute non classificati altrove","Health professionals not elsewhere classified"
"23","Lehrkräfte",NA,"23",NA,NA,"Spécialistes de l’enseignement","Specialisti dell'educazione","Teaching professionals"
"230","Lehrkräfte, onA",NA,NA,"230",NA,"Spécialistes de l’enseignement, sip","Specialisti dell'educazione, s.a.i.","Teaching professionals, nos"
"2300","Lehrkräfte, onA",NA,NA,NA,"2300","Spécialistes de l’enseignement, sip","Specialisti dell'educazione, s.a.i.","Teaching professionals, nos"
"231","Universitäts- und Hochschullehrer",NA,NA,"231",NA,"Professeurs d’université et d’établissements d’enseignement supérieur","Docenti universitari e professori dell'insegnamento superiore","University and higher education teachers"
"2310","Universitäts- und Hochschullehrer",NA,NA,NA,"2310","Professeurs d’université et d’établissements d’enseignement supérieur","Docenti universitari e professori dell'insegnamento superiore","University and higher education teachers"
"232","Lehrkräfte im Bereich Berufsbildung",NA,NA,"232",NA,"Professeurs, enseignement technique et professionnel","Professori dell'educazione professionale","Vocational education teachers"
"2320","Lehrkräfte im Bereich Berufsbildung",NA,NA,NA,"2320","Professeurs, enseignement technique et professionnel","Professori dell'educazione professionale","Vocational education teachers"
